SCAN FILE,SITE,SLOPE, TYPE, POSITION (m), DEPTH (m), AMPLITUDE, PIXEL COUNT
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,14.05,0.08,3.1,1190
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,14.52,0.1,1.7,226
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,14.84,0.02,43.1,4088
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,14.93,0.07,3.1,778
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,15.12,0.07,1.6,259
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,15.24,0.06,5.9,678
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,15.34,0.05,2.5,172
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,15.41,0.04,5.2,245
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,15.52,0.06,2.8,429
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,15.62,0.07,4.1,636
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,15.98,0.08,2.9,741
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,16.07,0.13,1.2,146
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, MARKER,0, -, -, -
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, MARKER,1.18, -, -, -
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, MARKER,3.72, -, -, -
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, MARKER,4.89, -, -, -
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, MARKER,7.26, -, -, -
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, MARKER,8.65, -, -, -
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, MARKER,11.15, -, -, -
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, MARKER,12.33, -, -, -
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, MARKER,15.08, -, -, -
ROOT_PFTC7_SITE2_(nogp)_0004,2,east, DETECT,0,0.02,15.8,179
ROOT_PFTC7_SITE2_(nogp)_0004,2,east, DETECT,0.01,0.12,3.3,543
ROOT_PFTC7_SITE2_(nogp)_0004,2,east, DETECT,0.18,0.1,1.7,173
ROOT_PFTC7_SITE2_(nogp)_0004,2,east, DETECT,0.29,0.08,2.5,221
ROOT_PFTC7_SITE2_(nogp)_0004,2,east, DETECT,0.4,0.04,12.2,851
ROOT_PFTC7_SITE2_(nogp)_0004,2,east, DETECT,0.48,0.08,2.9,1094
ROOT_PFTC7_SITE2_(nogp)_0004,2,east, DETECT,0.97,0.04,42,1573
ROOT_PFTC7_SITE2_(nogp)_0004,2,east, DETECT,1.09,0.06,16,1508
ROOT_PFTC7_SITE2_(nogp)_0004,2,east, DETECT,1.21,0.05,2.9,210
ROOT_PFTC7_SITE2_(nogp)_0004,2,east, DETECT,1.28,0.08,5.5,1142
ROOT_PFTC7_SITE2_(nogp)_0004,2,east, DETECT,1.36,0.05,2.9,547
ROOT_PFTC7_SITE2_(nogp)_0004,2,east, DETECT,1.43,0.1,2,486
