"ID","date","elevation","siteID","aspect","sp","plantID","fire","root_depth_cm","no_root_scan","total_root_wet_mass_g","total_root_dry_mass_g","total_root_length_mm","total_root_volume_mm3","RD","BI","SRL","RTD","RDMC","no_tuber_scan","total_tuber_wet_mass_g","total_tuber_dry_mass_g","reproductive_height_cm","vegetative_height_cm","no_leaf","total_leaf_wet_mass_g","total_leaf_dry_mass_g","leaf_thick_1_mm","leaf_thick_2_mm","leaf_thick_3_mm","total_leaf_area_cm2","SLA","LT","LDMC","belowground_biomass_g","aboveground_biomass_g","ABG_BGB"
"FDV4335","12/09/2023",2400,3,"W","TT",4,1,21.6,4,0.0436,0.01805,1325.862079,79.482784,0.252789,0.367308,73.4549628254848,0.22709320297588,413.990825688073,NA,NA,NA,24.6,13.2,5,0.1258,0.04521,0.128,0.128,0.125,11.387,251.869055518691,0.127,359.379968203498,22.5,3.47,0.154222222
"FDY4037","12/09/2023",2400,3,"W","HPA",5,1,8,3,0.0172,0.00573,529.354592,28.417527,0.239963,0.408044,92.3830003490401,0.201636124072302,333.139534883721,5,0.2983,0.06399,28.8,5.3,1,0.8981,0.17296,0.987,0.729,0.959,14.956,86.4708603145236,0.891666666666667,192.584344727759,4.28,1.54,0.359813084
"FDZ1151","12/09/2023",2400,3,"W","TT",3,1,21.5,5,0.0314,0.013,1140.441533,63.558866,0.246726,0.416505,87.7262717692308,0.204534800856894,414.012738853503,NA,NA,NA,37.6,19.5,5,0.2419,0.08581,0.237,0.371,0.222,12.063,140.578021209649,0.276666666666667,354.733360892931,23.82,3.18,0.133501259
"FEC6189","12/09/2023",2400,3,"W","EC",4,1,12.5,5,0.028,0.00904,949.475283,50.716781,0.237315,0.351773,105.030451659292,0.178244750982914,322.857142857143,NA,NA,NA,20.8,11.6,5,0.1414,0.04062,0.241,0.229,0.168,7.398,182.127031019202,0.212666666666667,287.270155586987,7.95,0.93,0.116981132
"FED1194","12/09/2023",2400,3,"W","TT",2,0,16.5,4,0.0288,0.01425,536.457227,44.263995,0.292776,0.443651,37.6461211929825,0.321932080464043,494.791666666667,NA,NA,NA,28.5,16,5,0.174,0.06445,0.126,0.103,0.161,17.111,265.492629945694,0.13,370.402298850575,2.23,2.61,1.170403587
"FEG8108","12/09/2023",2400,3,"W","SG",5,0,10,4,0.0266,0.00948,802.913315,46.825722,0.251685,0.404776,84.6954973628692,0.202452831373321,356.390977443609,5,0.242,0.08927,42.2,21.3,1,1.018,0.16146,0.604,0.607,0.598,17.96,111.234980800198,0.603,158.60510805501,1.53,0.98,0.640522876
"FEH0081","12/09/2023",2400,3,"W","TT",1,0,19,5,0.0237,0.0102,857.687413,64.205967,0.272998,0.458209,84.0870012745098,0.158863739253394,430.379746835443,NA,NA,NA,31,18.9,5,0.234,0.07888,0.142,0.137,0.147,14.873,188.552231237323,0.142,337.094017094017,4.93,5.26,1.06693712
"FEK5954","12/09/2023",2400,3,"W","HPA",2,1,10,1,0.0053,0.0029,67.909679,2.590919,0.215222,0.16198,23.4171306896552,1.11929396480554,547.169811320755,5,0.5651,0.11125,32.4,9,1,0.9391,0.16845,0.992,0.969,0.922,17.014,101.003265063817,0.961,179.373868597593,0.86,0.75,0.872093023
"FEL2208","12/08/2023",2600,4,"W","EC",3,1,17.2,5,0.026,0.01002,961.957474,56.500935,0.256532,0.369039,96.0037399201597,0.177342197965396,385.384615384615,NA,NA,NA,26.2,9.5,5,0.1797,0.05629,0.16,0.18,0.187,10.299,182.963226150293,0.175666666666667,313.244296048971,12.7,1.23,0.096850394
"FEO1874","12/09/2023",2400,3,"W","HPA",1,1,9,3,0.0229,0.00867,556.002374,35.802203,0.263661,0.438847,64.1294549019608,0.242163869078112,378.602620087336,5,0.7407,0.13608,13.5,4.2,1,0.8182,0.15648,0.954,0.893,0.922,14.659,93.6797034764826,0.923,191.249083353703,1.17,0.91,0.777777778
